frame,state,boot_x,boot_y,cart_x,target,direction,loop_ms
1,PLAYING,854,642,712,854,1,3.6
2,PLAYING,854,648,712,854,1,2.1
3,PLAYING,856,652,711,856,1,2.2
4,PLAYING,840,658,713,840,1,2.8
5,PLAYING,840,662,715,840,1,2.5
6,PLAYING,840,666,719,840,1,1.9
7,PLAYING,840,670,723,840,1,2.6
8,PLAYING,840,676,729,840,1,3.3
9,PLAYING,833,692,733,833,1,2.7
10,PLAYING,833,696,737,833,1,2.5
11,PLAYING,833,700,741,833,1,1.9
12,PLAYING,833,704,747,833,1,2.4
13,PLAYING,833,708,751,833,1,2.0
14,PLAYING,833,736,757,833,1,2.1
15,PLAYING,835,740,761,835,1,2.0
16,PLAYING,835,744,769,835,1,2.7
17,PLAYING,835,748,773,835,1,2.7
18,PLAYING,835,752,779,835,1,1.9
19,PLAYING,847,767,785,847,1,3.0
20,PLAYING,847,773,791,847,1,2.8
21,PLAYING,849,777,797,849,1,2.0
22,PLAYING,849,781,803,849,1,1.9
23,PLAYING,849,785,809,849,1,2.2
24,PLAYING,869,787,817,869,1,2.0
25,PLAYING,869,791,823,869,1,2.5
26,PLAYING,869,797,829,869,1,2.6
27,PLAYING,869,801,837,869,1,2.1
28,PLAYING,871,805,843,871,1,2.9
29,PLAYING,882,797,851,882,1,2.9
30,PLAYING,882,801,859,882,1,2.3
31,PLAYING,882,807,867,882,1,2.0
32,PLAYING,882,811,875,882,0,3.0
33,PLAYING,882,815,881,882,0,2.2
34,PLAYING,885,802,890,885,0,3.7
35,PLAYING,885,806,896,885,-1,3.7
36,PLAYING,885,812,902,885,-1,3.0
37,PLAYING,885,816,899,885,-1,3.3
38,PLAYING,885,820,899,885,-1,2.1
39,PLAYING,866,808,897,866,-1,2.0
40,PLAYING,868,812,893,868,-1,2.0
41,PLAYING,868,816,889,868,-1,2.1
42,PLAYING,868,820,885,868,-1,2.2
43,PLAYING,868,826,881,868,-1,2.6
44,PLAYING,852,832,877,852,-1,2.6
45,PLAYING,852,836,875,852,-1,1.9
46,PLAYING,877,840,867,877,1,3.1
47,PLAYING,879,836,863,879,1,2.5
48,PLAYING,881,832,864,881,1,3.1
49,PLAYING,892,837,866,892,1,2.8
50,PLAYING,892,835,868,892,1,2.0
51,PLAYING,894,832,870,894,1,3.9
52,PLAYING,898,828,874,898,1,2.1
53,PLAYING,898,824,878,898,1,1.9
54,PLAYING,901,842,882,901,1,3.8
55,PLAYING,902,838,886,902,1,1.9
56,PLAYING,904,834,890,904,1,3.0
57,PLAYING,906,830,894,906,1,2.7
58,PLAYING,908,826,898,908,1,1.9
59,PLAYING,898,833,902,898,0,2.2
60,PLAYING,900,829,908,900,-1,2.7
61,PLAYING,902,825,913,902,-1,1.9
62,PLAYING,904,821,911,904,0,2.3
63,PLAYING,906,817,911,906,0,1.9
64,PLAYING,888,811,909,888,-1,3.6
65,PLAYING,890,807,910,890,-1,2.4
66,PLAYING,892,803,910,892,-1,2.3
67,PLAYING,894,801,908,894,-1,2.4
68,PLAYING,896,795,906,896,-1,2.3
69,PLAYING,887,781,902,887,-1,2.7
70,PLAYING,889,777,898,889,-1,2.0
71,PLAYING,891,773,894,891,0,2.4
72,PLAYING,893,769,890,893,0,2.9
73,PLAYING,895,765,888,895,0,2.6
74,PLAYING,896,744,886,896,1,2.2
75,PLAYING,898,740,885,898,1,2.1
76,PLAYING,900,734,887,900,1,2.7
77,PLAYING,902,732,887,902,1,1.8
78,PLAYING,904,728,891,904,1,2.7
79,PLAYING,925,708,893,925,1,2.0
80,PLAYING,927,704,897,927,1,3.5
81,PLAYING,929,700,901,929,1,2.6
82,PLAYING,931,696,905,931,1,2.0
83,PLAYING,933,692,909,933,1,2.0
84,PLAYING,951,690,913,951,1,2.6
85,PLAYING,953,686,917,953,1,3.1
86,PLAYING,955,682,921,955,1,2.7
87,PLAYING,957,678,925,957,1,1.9
88,PLAYING,959,674,931,959,1,2.6
89,PLAYING,970,682,935,970,1,2.1
90,PLAYING,972,678,939,972,1,3.3
91,PLAYING,974,674,945,974,1,2.1
92,PLAYING,976,670,951,976,1,3.1
93,PLAYING,978,666,956,978,1,2.6
94,PLAYING,980,684,961,980,1,2.8
95,PLAYING,982,680,967,982,1,2.6
96,PLAYING,984,676,973,984,1,2.0
97,PLAYING,986,672,979,986,0,2.5
98,PLAYING,988,668,985,988,0,1.9
99,PLAYING,978,675,990,978,-1,2.3
100,PLAYING,980,671,996,980,-1,2.1
101,PLAYING,980,667,993,980,-1,2.6
102,PLAYING,982,663,991,982,-1,1.9
103,PLAYING,984,661,989,984,0,3.0
104,PLAYING,966,653,985,966,-1,2.6
105,PLAYING,968,649,983,968,-1,2.1
106,PLAYING,970,647,981,970,-1,2.6
107,PLAYING,972,643,977,972,0,2.3
108,PLAYING,974,639,971,974,0,2.5
109,PLAYING,965,623,969,965,0,2.0
110,PLAYING,967,619,965,967,0,2.0
111,PLAYING,969,615,965,969,0,1.9
112,PLAYING,971,611,963,971,1,3.1
113,PLAYING,973,607,963,973,1,2.5
114,PLAYING,974,586,963,974,1,1.9
115,PLAYING,976,582,965,976,1,2.8
116,PLAYING,978,578,969,978,1,3.1
117,PLAYING,980,574,971,980,1,3.1
118,PLAYING,982,570,975,982,0,3.1
119,PLAYING,1003,550,979,1003,1,2.4
120,PLAYING,1005,546,985,1005,1,2.3
121,PLAYING,1007,542,989,1007,1,3.4
122,PLAYING,1009,538,993,1009,1,2.0
123,PLAYING,1011,534,999,1011,1,2.0
124,PLAYING,1027,536,1003,1027,1,2.8
125,PLAYING,1025,532,1009,1025,1,2.1
126,PLAYING,1023,528,1013,1023,1,2.8
127,PLAYING,1021,524,1019,1021,0,2.4
128,PLAYING,1019,520,1025,1019,0,3.1
129,PLAYING,1026,528,1032,1026,0,2.2
130,PLAYING,1024,524,1034,1024,-1,3.1
131,PLAYING,1022,520,1038,1022,-1,2.0
132,PLAYING,1020,516,1035,1020,-1,2.7
133,PLAYING,1018,514,1035,1018,-1,2.8
134,PLAYING,1016,532,1031,1016,-1,2.0
135,PLAYING,1014,528,1029,1014,-1,1.8
136,PLAYING,1012,522,1025,1012,-1,2.9
137,PLAYING,1010,520,1021,1010,-1,2.4
138,PLAYING,1008,516,1017,1008,-1,1.8
139,PLAYING,994,523,1013,994,-1,2.7
140,PLAYING,992,519,1009,992,-1,3.1
141,PLAYING,990,515,1005,990,-1,1.8
142,PLAYING,988,511,1001,988,-1,2.2
143,PLAYING,986,507,997,986,-1,2.6
144,PLAYING,964,501,991,964,-1,2.0
145,PLAYING,964,497,987,964,-1,2.1
146,PLAYING,962,493,983,962,-1,2.6
147,PLAYING,960,489,977,960,-1,1.9
148,PLAYING,958,485,971,958,-1,2.2
149,PLAYING,945,469,967,945,-1,2.9
150,PLAYING,943,465,961,943,-1,2.7
151,PLAYING,941,461,957,941,-1,2.0
152,PLAYING,939,457,949,939,-1,3.0
153,PLAYING,937,453,945,937,0,2.9
154,PLAYING,934,432,939,934,0,2.6
155,PLAYING,932,428,933,932,0,2.3
156,PLAYING,930,424,929,930,0,2.2
157,PLAYING,928,420,925,928,0,2.3
158,PLAYING,926,416,923,926,0,2.4
159,PLAYING,943,396,921,943,1,2.4
160,PLAYING,941,392,919,941,1,2.6
161,PLAYING,939,388,921,939,1,3.0
162,PLAYING,937,386,923,937,1,3.1
163,PLAYING,935,382,925,935,1,1.9
164,PLAYING,949,378,929,949,1,2.8
165,PLAYING,947,376,931,947,1,1.9
166,PLAYING,945,372,935,945,1,1.9
167,PLAYING,943,368,939,943,0,3.1
168,PLAYING,941,362,943,941,0,1.9
169,PLAYING,948,372,948,948,0,2.0
170,PLAYING,946,368,950,946,0,1.8
171,PLAYING,944,364,952,944,0,1.9
172,PLAYING,942,360,952,942,-1,4.7
173,PLAYING,940,356,952,940,-1,2.4
174,PLAYING,938,374,949,938,-1,2.4
175,PLAYING,936,370,949,936,-1,2.2
176,PLAYING,934,366,945,934,-1,2.7
177,PLAYING,932,362,943,932,-1,2.0
178,PLAYING,930,358,939,930,-1,2.4
179,PLAYING,916,365,935,916,-1,2.6
180,PLAYING,914,361,931,914,-1,2.1
181,PLAYING,912,357,927,912,-1,2.0
182,PLAYING,910,353,923,910,-1,2.6
183,PLAYING,908,349,919,908,-1,2.0
184,PLAYING,886,343,915,886,-1,2.0
185,PLAYING,884,339,911,884,-1,3.5
186,PLAYING,882,335,905,882,-1,3.4
187,PLAYING,880,331,901,880,-1,2.4
188,PLAYING,878,327,895,878,-1,3.1
189,PLAYING,867,311,891,867,-1,2.1
190,PLAYING,865,307,887,865,-1,2.2
191,PLAYING,863,303,881,863,-1,2.6
192,PLAYING,861,299,875,861,-1,2.2
193,PLAYING,859,297,869,859,-1,1.9
194,PLAYING,903,276,865,903,1,3.3
195,PLAYING,905,272,859,905,1,2.3
196,PLAYING,907,268,858,907,1,2.1
197,PLAYING,909,264,860,909,1,2.0
198,PLAYING,911,260,862,911,1,2.0
199,PLAYING,873,240,866,873,0,2.4
200,PLAYING,903,251,870,903,1,2.7
201,PLAYING,903,254,875,903,1,2.1
202,PLAYING,905,257,879,905,1,2.1
203,PLAYING,907,262,881,907,1,1.9
204,PLAYING,886,266,887,886,0,3.3
205,PLAYING,889,269,889,889,0,2.2
206,PLAYING,890,274,894,890,0,2.6
207,PLAYING,892,278,896,892,0,2.0
208,PLAYING,894,282,898,894,0,2.6
209,PLAYING,887,298,898,887,-1,3.0
210,PLAYING,889,302,898,889,-1,2.0
211,PLAYING,891,306,897,891,0,2.4
212,PLAYING,893,310,895,893,0,3.3
213,PLAYING,895,314,893,895,0,2.9
214,PLAYING,897,340,893,897,0,3.5
215,PLAYING,899,344,893,899,0,2.1
216,PLAYING,901,348,893,901,0,1.9
217,PLAYING,903,350,893,903,1,2.3
218,PLAYING,905,356,895,905,1,2.3
219,PLAYING,919,369,897,919,1,2.7
220,PLAYING,921,375,899,921,1,1.8
221,PLAYING,923,377,903,923,1,2.6
222,PLAYING,925,381,905,925,1,2.0
223,PLAYING,927,385,909,927,1,1.9
224,PLAYING,949,387,913,949,1,2.7
225,PLAYING,951,391,917,951,1,1.8
226,PLAYING,953,395,921,953,1,2.5
227,PLAYING,955,399,925,955,1,2.6
228,PLAYING,957,403,929,957,1,2.1
229,PLAYING,968,395,933,968,1,1.9
230,PLAYING,970,399,939,970,1,2.9
231,PLAYING,972,403,943,972,1,2.2
232,PLAYING,972,403,943,972,1,1.9
233,PLAYING,974,407,949,974,1,2.0
234,PLAYING,979,396,955,979,1,2.6
235,PLAYING,981,400,961,981,1,2.5
236,PLAYING,983,404,967,983,1,2.2
237,PLAYING,985,408,973,985,1,1.9
238,PLAYING,987,412,977,987,1,2.0
239,PLAYING,970,400,983,970,-1,2.7
240,PLAYING,972,404,989,972,-1,2.0
241,PLAYING,974,408,990,974,-1,2.6
242,PLAYING,976,412,988,976,-1,2.5
243,PLAYING,978,416,986,978,0,3.2
244,PLAYING,964,422,982,964,-1,2.3
245,PLAYING,966,426,980,966,-1,2.6
246,PLAYING,968,430,975,968,0,2.9
247,PLAYING,970,434,973,970,0,2.4
248,PLAYING,972,438,969,972,0,3.4
249,PLAYING,965,452,967,965,0,2.0
250,PLAYING,965,456,967,965,0,1.9
251,PLAYING,967,460,967,967,0,2.5
252,PLAYING,971,466,967,971,0,2.2
253,PLAYING,971,468,967,971,0,2.8
254,PLAYING,973,494,967,973,0,2.0
255,PLAYING,975,498,967,975,0,2.0
256,PLAYING,977,502,967,977,1,3.0
257,PLAYING,979,506,967,979,1,2.2
258,PLAYING,981,510,967,981,1,2.1
259,PLAYING,995,525,969,995,1,2.9
260,PLAYING,997,529,971,997,1,2.0
261,PLAYING,999,533,975,999,1,2.9
262,PLAYING,1001,537,979,1001,1,2.5
263,PLAYING,1003,541,983,1003,1,1.8
264,PLAYING,1025,543,987,1025,1,2.9
265,PLAYING,1027,547,993,1027,1,2.1
266,PLAYING,1025,551,997,1025,1,2.6
267,PLAYING,1023,555,1001,1023,1,2.3
268,PLAYING,1021,559,1007,1021,1,2.8
269,PLAYING,1029,550,1011,1029,1,2.9
270,PLAYING,1028,553,1017,1028,1,2.9
271,PLAYING,1026,557,1023,1026,0,3.0
272,PLAYING,1024,563,1029,1024,0,2.3
273,PLAYING,1022,567,1034,1022,-1,2.5
274,PLAYING,1021,552,1038,1021,-1,1.9
275,PLAYING,1019,558,1037,1019,-1,2.1
276,PLAYING,1017,562,1035,1017,-1,2.2
277,PLAYING,1015,564,1033,1015,-1,1.9
278,PLAYING,1013,568,1029,1013,-1,2.0
279,PLAYING,992,556,1025,992,-1,2.6
280,PLAYING,990,560,1021,990,-1,2.8
281,PLAYING,988,564,1019,988,-1,1.9
282,PLAYING,986,568,1015,986,-1,2.8
283,PLAYING,984,572,1011,984,-1,2.0
284,PLAYING,966,578,1005,966,-1,2.9
285,PLAYING,964,582,1001,964,-1,2.6
286,PLAYING,962,586,997,962,-1,3.0
287,PLAYING,960,590,993,960,-1,2.9
288,PLAYING,958,594,987,958,-1,2.7
289,PLAYING,947,610,983,947,-1,2.1
290,PLAYING,945,614,977,945,-1,2.9
291,PLAYING,943,618,973,943,-1,2.1
292,PLAYING,941,622,967,941,-1,2.0
293,PLAYING,941,626,963,941,-1,1.9
294,PLAYING,939,652,957,939,-1,2.2
295,PLAYING,937,656,951,937,-1,2.5
296,PLAYING,935,660,945,935,-1,2.9
297,PLAYING,933,664,939,933,0,2.8
298,PLAYING,931,668,933,931,0,4.4
299,PLAYING,941,683,927,941,1,2.5
300,PLAYING,939,687,923,939,1,2.2
301,PLAYING,937,691,923,937,1,2.5
302,PLAYING,935,695,925,935,1,2.4
303,PLAYING,933,699,927,933,0,2.7
304,PLAYING,951,701,931,951,1,2.9
305,PLAYING,949,705,934,949,1,3.0
