frame,state,boot_x,boot_y,cart_x,target,direction,loop_ms
1,AIM,1032,382,1014,,0,84.5
2,AIM,1032,382,1014,,0,2.7
3,AIM,1032,382,1014,,0,3.0
4,AIM,1032,382,1014,,0,3.2
5,AIM,1032,382,1014,,0,3.2
6,AIM,1032,382,1014,,0,2.1
7,AIM,1032,382,1014,,0,2.8
8,AIM,1032,382,1014,,0,1.8
9,AIM,1032,382,1014,,0,3.7
10,AIM,1032,382,1014,,0,2.4
11,AIM,1032,382,1014,,0,3.8
12,AIM,1032,382,1014,,0,3.1
13,AIM,1032,382,1014,,0,3.1
14,AIM,1032,382,1014,,0,1.8
15,AIM,1032,382,1014,,0,2.8
16,AIM,1032,382,1014,,0,1.9
17,AIM,1032,382,1014,,0,3.2
18,AIM,1032,382,1014,,0,2.5
19,AIM,1032,382,1014,,0,2.6
20,AIM,1032,382,1014,,0,1.9
21,AIM,1032,382,1014,,0,1.9
22,AIM,1032,382,1014,,0,3.1
23,AIM,1032,382,1014,,0,3.5
24,AIM,1032,382,1014,,0,1.7
25,AIM,1032,382,1014,,0,2.2
26,AIM,1032,382,1014,,0,1.9
27,AIM,1032,382,1014,,0,3.1
28,AIM,1032,382,1014,,0,2.6
29,AIM,1032,382,1014,,0,2.4
30,AIM,1032,382,1014,,0,1.9
31,AIM,1032,382,1014,,0,2.3
32,AIM,1032,382,1014,,0,2.2
33,AIM,1032,382,1014,,0,2.1
34,AIM,1032,382,1014,,0,1.8
35,AIM,1032,382,1014,,0,3.8
36,AIM,1032,382,1014,,0,2.7
37,AIM,1032,382,1014,,0,2.2
38,AIM,1032,382,1014,,0,1.9
39,AIM,1032,382,1014,,0,2.8
40,AIM,1032,382,1014,,0,2.5
41,AIM,1032,382,1014,,0,1.9
42,AIM,1032,382,1014,,0,1.9
43,AIM,1032,382,1014,,0,3.0
44,AIM,1032,382,1014,,0,1.8
45,AIM,1032,382,1014,,0,3.3
46,AIM,1032,382,1014,,0,2.6
47,AIM,1032,382,1014,,0,2.4
48,AIM,1032,382,1014,,0,2.0
49,AIM,1032,382,1014,,0,2.7
50,AIM,1032,382,1014,,0,2.1
51,AIM,1032,382,1014,,0,3.2
52,AIM,1032,382,1014,,0,1.9
53,AIM,1032,382,1014,,0,1.9
54,AIM,1032,382,1014,,0,1.8
55,AIM,1032,382,1014,,0,3.2
56,AIM,1032,382,1014,,0,3.6
57,AIM,1032,382,1014,,0,3.6
58,AIM,1032,382,1014,,0,2.8
59,AIM,1032,382,1014,,0,3.6
60,AIM,1032,382,1014,,0,2.6
61,AIM,1032,382,1014,,0,2.1
62,AIM,1032,382,1014,,0,1.9
63,AIM,1032,382,1014,,0,2.9
64,AIM,1032,382,1014,,0,1.9
65,AIM,1032,382,1014,,0,4.0
66,AIM,1032,382,1014,,0,2.1
67,AIM,1032,382,1014,,0,3.2
68,AIM,1032,382,1014,,0,2.3
69,AIM,1032,382,1014,,0,1.9
70,AIM,1032,382,1014,,0,1.9
71,AIM,1032,382,1014,,0,3.7
72,AIM,1032,382,1014,,0,1.9
73,AIM,1032,382,1014,,0,2.9
74,AIM,1032,382,1014,,0,2.2
75,AIM,1032,382,1014,,0,3.6
76,AIM,1032,382,1014,,0,2.8
77,AIM,1032,382,1014,,0,2.3
78,AIM,1032,382,1014,,0,2.1
79,AIM,1032,382,1014,,0,2.6
80,AIM,1032,382,1014,,0,2.4
81,AIM,1032,382,1014,,0,2.4
82,AIM,1032,382,1014,,0,2.3
83,AIM,1032,382,1014,,0,3.5
84,AIM,1032,382,1014,,0,1.9
85,AIM,1032,382,1014,,0,3.4
86,AIM,1032,382,1014,,0,2.0
87,AIM,1032,382,1014,,0,3.2
88,AIM,1032,382,1014,,0,3.2
89,AIM,1032,382,1014,,0,85.6
90,AIM,1032,382,1014,,0,3.0
91,AIM,1032,382,1014,,0,3.0
92,AIM,1032,382,1014,,0,2.6
93,AIM,1032,382,1014,,0,1.9
94,AIM,1032,382,1014,,0,3.1
95,AIM,1032,382,1014,,0,2.0
96,AIM,1032,382,1014,,0,2.7
97,AIM,1032,382,1014,,0,1.8
98,AIM,1032,382,1014,,0,3.9
99,AIM,1032,382,1014,,0,2.4
100,AIM,1032,382,1014,,0,3.5
101,AIM,1032,382,1014,,0,2.0
102,AIM,1032,382,1014,,0,2.9
103,AIM,1032,382,1014,,0,2.0
104,AIM,1032,382,1014,,0,2.8
105,AIM,1032,382,1014,,0,2.1
106,AIM,1032,382,1014,,0,3.2
107,AIM,1032,382,1014,,0,2.0
108,AIM,1032,382,1014,,0,3.4
109,AIM,1032,382,1014,,0,2.3
110,AIM,1032,382,1014,,0,3.3
111,AIM,1032,382,1014,,0,1.9
112,AIM,1032,382,1014,,0,2.0
113,AIM,1032,382,1014,,0,1.8
114,AIM,1032,382,1014,,0,3.0
115,AIM,1032,382,1014,,0,2.9
116,AIM,1032,382,1014,,0,4.3
117,AIM,1032,382,1014,,0,2.8
118,AIM,1032,382,1014,,0,2.3
119,AIM,1032,382,1014,,0,2.5
120,AIM,1032,382,1014,,0,2.3
121,AIM,1032,382,1014,,0,2.1
122,AIM,1032,382,1014,,0,2.8
123,AIM,1032,382,1014,,0,2.2
124,AIM,1032,382,1014,,0,4.1
125,AIM,1032,382,1014,,0,2.6
126,AIM,1032,382,1014,,0,2.2
127,AIM,1032,382,1014,,0,2.2
128,AIM,1032,382,1014,,0,2.0
129,AIM,1032,382,1014,,0,1.9
130,AIM,1032,382,1014,,0,3.0
131,AIM,1032,382,1014,,0,1.9
132,AIM,1032,382,1014,,0,2.4
133,AIM,1032,382,1014,,0,2.5
134,AIM,1032,382,1014,,0,2.1
135,AIM,1032,382,1014,,0,3.0
136,AIM,1032,382,1014,,0,2.5
137,AIM,1032,382,1014,,0,1.9
138,AIM,1032,382,1014,,0,3.1
139,AIM,1032,382,1014,,0,2.0
140,AIM,1032,382,1014,,0,3.9
141,AIM,1032,382,1014,,0,1.8
142,AIM,1032,382,1014,,0,2.9
143,AIM,1032,382,1014,,0,3.4
144,AIM,1032,382,1014,,0,3.0
145,AIM,1032,382,1014,,0,2.1
146,AIM,1032,382,1014,,0,3.0
147,AIM,1032,382,1014,,0,3.2
148,AIM,1032,382,1014,,0,2.9
149,AIM,1032,382,1014,,0,2.3
150,AIM,1032,382,1014,,0,2.4
151,AIM,1032,382,1014,,0,2.6
152,AIM,1032,382,1014,,0,3.8
153,AIM,1032,382,1014,,0,2.1
154,AIM,1032,382,1014,,0,2.2
155,AIM,1032,382,1014,,0,3.1
156,AIM,1032,382,1014,,0,2.9
157,AIM,1032,382,1014,,0,2.2
158,AIM,1032,382,1014,,0,2.2
159,AIM,1032,382,1014,,0,2.6
160,AIM,1032,382,1014,,0,2.9
161,AIM,1032,382,1014,,0,2.2
162,AIM,1032,382,1017,,0,2.2
163,AIM,1032,382,1020,,0,3.1
164,AIM,1032,382,1026,,0,2.9
165,AIM,1032,382,1035,,0,3.7
166,AIM,1032,382,1039,,0,2.3
167,AIM,1032,382,1038,,0,2.8
168,AIM,1032,382,1038,,0,3.0
169,AIM,1032,382,1038,,0,2.5
170,AIM,1032,382,1039,,0,2.6
171,AIM,1032,382,1039,,0,2.2
172,AIM,1032,382,1033,,0,3.1
173,AIM,1032,382,1033,,0,3.5
174,AIM,1032,382,1034,,0,2.6
175,AIM,1032,382,1034,,0,2.0
176,AIM,1032,382,1034,,0,3.6
177,AIM,1032,382,1041,,0,2.3
178,AIM,1032,382,1041,,0,2.2
179,AIM,1032,382,1042,,0,2.8
180,AIM,1032,382,1042,,0,2.0
181,AIM,1032,382,1035,,0,2.2
182,AIM,1032,382,1026,,0,3.8
183,AIM,1032,382,1018,,0,2.5
184,AIM,1032,382,1014,,0,2.1
185,AIM,1032,382,1014,,0,2.0
186,AIM,1032,382,1014,,0,2.3
187,AIM,1032,382,1022,,0,3.0
188,AIM,1032,382,1018,,0,3.6
189,AIM,1032,382,1015,,0,3.3
190,AIM,1032,382,1014,,0,2.2
191,AIM,1032,382,1014,,0,4.3
192,AIM,1032,382,1019,,0,2.5
193,AIM,1032,382,1015,,0,2.1
194,AIM,1032,382,1014,,0,2.7
195,AIM,1032,382,1014,,0,2.1
196,AIM,1032,382,1014,,0,2.2
197,AIM,1032,382,1014,,0,2.2
198,AIM,1032,382,1014,,0,2.5
199,AIM,1032,382,1014,,0,2.2
